#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:cytb_beast" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cytb_beast" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:cytb_beast">
#                <taxonset id="TaxonSet.cytb_beast" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cytb_beast" name="distribution" x="@birthRate.t:cytb_beast">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:cytb_beast" name="distribution">
#            <parameter id="gammaShape.s:cytb_beast" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:cytb_beast" name="distribution">
#            <parameter id="kappa.s:cytb_beast" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:cytb_beast" name="distribution">
#            <parameter id="ucldMean.c:cytb_beast" name="x">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:cytb_beast" name="distribution">
#            <parameter id="ucldStdev.c:cytb_beast" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="cats.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:cytb_beast">
#            <taxonset id="cats" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="EF689045_Felis_silvestris" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="EF689047_Lynx_pardinus" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.3" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.16" name="M">12.0</parameter>
#                <parameter estimate="false" id="RealParameter.17" lower="0.0" name="S" upper="5.0">0.2</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@cytb_beast" id="treeLikelihood.cytb_beast" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cytb_beast">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:cytb_beast" shape="@gammaShape.s:cytb_beast" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:cytb_beast" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cytb_beast" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:cytb_beast" kappa="@kappa.s:cytb_beast" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:cytb_beast" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:cytb_beast" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cytb_beast" id="RelaxedClock.c:cytb_beast" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cytb_beast">
#                <LogNormal S="@ucldStdev.c:cytb_beast" id="LogNormalDistributionModel.c:cytb_beast" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="28" id="rateCategories.c:cytb_beast" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	mutationRate	gammaShape	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	logP(mrca(cats))	mrcatime(cats)	ucldMean	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-4425.474931524041	-4356.568842241464	-68.90608928257615	-4356.568842241464	1.6507423520415916	-5.889885492938196	1.3034451908686875	2.0	1.0	1.0	0.1	1.0343103497257624	0.010959246564496664	0.10299015945541726	-60.970207900784466	1.2819482183842383	1.0	0.25	0.25	0.25	0.25
1000	-2910.0859936199918	-2834.2084039398364	-75.87758968015534	-2834.2084039398364	1.507980244003667	-16.426653898716417	2.0170324263380137	2.0	1.0	1.0	0.5778241008028788	0.038494803191770996	4.4155568930485673E-4	0.46000283987425844	-55.34617660471527	1.4252068886304745	0.05813727043377663	0.25	0.24011271737403278	0.25	0.2598872826259672
2000	-2754.781637642019	-2707.3912590809005	-47.390378561118624	-2707.3912590809005	10.793735467858859	-41.23348729836026	0.2818189545526271	2.0	1.0	0.7542251527970795	0.6025759547637063	0.00527329765961117	9.987261209554754E-6	0.49308860095620205	-2.213783416266822	9.329706116560256	0.007844078831501214	0.24231769823785396	0.240542127294579	0.25	0.26714017446756705
3000	-2652.602996560392	-2605.2116093311342	-47.39138722925781	-2605.2116093311342	11.638231923752993	-40.54594244330203	0.1457990556082669	3.801000075161459	1.0	0.6311024766828668	0.5874503276907332	0.004974478528391585	8.223062019404375E-6	0.5036954492491268	-2.428815239276489	8.958739884901602	0.007003411794425957	0.24501521239807808	0.240542127294579	0.24730248583977588	0.26714017446756705
4000	-2654.7003006910504	-2592.1829598269983	-62.51734086405207	-2592.1829598269983	31.639114243168365	-53.667426047114006	0.07483914812909945	4.486582423755786	1.0	0.6311024766828668	0.7678017649842303	0.0018969464439974827	2.2622521491069547E-6	0.6436219873989718	-3.6275620552073518	16.64341036939021	0.0029757451185887483	0.24501521239807808	0.240542127294579	0.24730248583977588	0.26714017446756705
5000	-2653.7718721086985	-2594.374950271025	-59.396921837673275	-2594.374950271025	29.766260814196432	-51.279130000900444	0.09923132918832385	4.486582423755786	1.0	0.6311024766828668	0.7043478123365235	0.0025957215801875435	6.11858112362893E-6	0.7558539368379161	-3.1013061740318157	15.692180231227058	0.0038414783010017562	0.24501521239807808	0.240542127294579	0.24730248583977588	0.26714017446756705
6000	-2627.580247593911	-2568.2557068466085	-59.32454074730238	-2568.2557068466085	27.516480417726772	-51.12288898167581	0.06511415093293306	9.128262012538507	1.0	0.6311024766828668	0.6823143539009516	0.0022975699468315664	2.3900034072086125E-6	0.5352829571114794	-2.157980635882402	13.52566971298464	0.0036248064659366495	0.24501521239807808	0.240542127294579	0.24730248583977588	0.26714017446756705
7000	-2594.31951504707	-2534.1511265044287	-60.1683885426414	-2534.1511265044287	28.754581869468705	-52.83993811605655	0.10001263306325851	9.128262012538507	1.0	0.32017381120240734	0.6045937522683256	0.0028882345487351467	1.581920046852239E-6	0.4206606162354537	-1.8548962000567735	10.331996550688341	0.00383767086369235	0.24501521239807808	0.240542127294579	0.24730248583977588	0.26714017446756705
8000	-2596.23507801537	-2534.963168863444	-61.27190915192623	-2534.963168863444	29.391808068886995	-52.92193550857849	0.10342090072673575	9.128262012538507	1.0	0.32017381120240734	0.6402061743822561	0.002378047342759643	5.094177714436968E-6	0.7687171416461589	-2.7568184556199826	8.514096056748274	0.0038486104638123806	0.24501521239807808	0.240542127294579	0.24730248583977588	0.26714017446756705
9000	-2592.778976440104	-2538.6140934921223	-54.164882947981674	-2538.6140934921223	22.00287108685916	-46.64228405136799	0.08653281711614097	9.94354245606941	1.0	0.32017381120240734	0.46125440996545203	0.004034233529371992	6.186945982058781E-6	0.531897939892183	-2.394750641037511	9.012133067481104	0.0054270644522035364	0.25499583811717647	0.240542127294579	0.24730248583977588	0.25715954874846864
10000	-2597.355516778779	-2541.8320279549184	-55.52348882386043	-2541.8320279549184	23.503943973921128	-48.24709759226494	0.11598284376968297	9.94354245606941	1.0	0.32017381120240734	0.5080930604037256	0.003680409148107955	3.947525378863462E-6	0.4904339284088074	-1.9813690779229538	9.87650735430365	0.004392474902521846	0.2509961297742871	0.2445418356374684	0.24730248583977588	0.25715954874846864
11000	-2593.55909367491	-2540.3286012851245	-53.230492389785326	-2540.3286012851245	17.744082989541003	-44.40130717437735	0.13429568078475904	9.999235177881117	1.0	0.32017381120240734	0.6320541828316644	0.004370886726466731	6.007360123915205E-6	0.4976312702849133	-3.0988311856235464	8.14132153041959	0.0056571804012579725	0.2509961297742871	0.2445418356374684	0.24730248583977588	0.25715954874846864
